name	topics
The fight of western countries against climate change is hypocritical	"climate change, cliamte, global-warming, westworld, hypocrisy"
Conscientious objection to abortion should be banned	"abortion, religion, human rights, ethics, feminism, health"
Conscientious objection to abortion should be banned	"abortion, religion, human rights, ethics, feminism, health"
"Cryptocurrencies, such as Bitcoin and others, are beneficial for the world."	"ADC, bitcoin, anonymity, blockchain, crypto, cryptocurrency"
Fundamental rights should be extended to General AI.	"AI, ethics, law, technology, rights"
An artificial general intelligence \(AGI\) should be created.	"AI, ethics, technology, science"
Sex Robots Will Advance Sexual Liberation.	"AI, ethics, technology, women, sex"
Transhumanism is the next step in human evolution.	"AI, evolution, humans, society"
Transhumanism is the next step in human evolution.	"AI, evolution, humans, society"
A World Led by AI would be a Better World.	"AI, society, politics"
The use of Lethal Autonomous Weapon Systems \(LAWs\) will be beneficial to society	"AI, technology, war, robots, politics"
What is the best reaction to an alien encounter ?	"aliens, behavior, encounter, life, universe"
American Civil War \(1861-65\) was mainly about slavery	"American, history, war between the states"
"Selective breeding of animals for pets \(e.g. Siamese cats, pugs, etc.\) should be prohibited."	"animal rights, animal, ethics, policy, breeding"
Shark culling should be banned.	"animal rights, animals, ethics, sharks"
Traditional bullfighting - the practice of fighting with bulls that includes physically injuring them - should be banned.	"animal rights, culture, politics"
Humans should stop eating animal meat.	"animal rights, meat, vegetarian, food, health, ethics"
Zoos should be forbidden.	"animals, animal rights, ethics"
Animal testing should be banned.	"animals, science, ethics, health"
"Assuming that a flawless system for [anonymous](http://pastebin.com/ABSzKUV2) payments \(APs\) were to exist, the anonymity this system offers would be beneficial to society."	"anonymity, currency, bitcoin, payments, anonymous, finance"
Antifa is good.	"Antifa, nationalism, justice, racism, fascism, Nazi"
The quality of artwork should not be judged based on the conduct of the artist.	"art, artist, topical, ethics"
The government should provide funding for arts programs	"art, government, economics, education"
All museum admissions should be by donation.	"art, money, ethics"
"Sexualised artworks of prepubescent girls - ""Loli"" - encourage pedophilia."	"art, sex, children, violence, ethics"
The date of Australia Day should be changed.	"Australia, equality, politics, culture"
Australia should limit immigration to achieve a sustainable population.	"Australia, immigration, government"
Genuine belief is unnecessary in worship.	"belief, religion, pascal"
"Veganism is a religion, not a philosophy."	"belief, system, practical, reality, concept, behavior"
Bigfoot exists.	Bigfoot
Bigfoot exists.	Bigfoot
Land boundaries/borders should not exist.	"border, control, boundaries, security, nationalist, nations, natural, prevention, building, globalization, changes, constant"
We Should Fully Connect Brains To Computers	"brain, computer, technology, society, transhumanism, philosophy"
The UK should remain in the EU if a hard Brexit is the only alternative option.	"Brexit, EU, UK, Europe, politics"
Voters in the UK should have a final vote on the Brexit deal.	"Brexit, referendum, UK"
Brexit was a good choice for the UK.	"Brexit, referendum, UK, politics, EU, economics"
The Conservative Party has lost its legitimacy to control the government which would entail an ethical duty to adopt a motion of no confidence.	"Brexit, UK, House, Commons, Conservative, Labour"
Corporations should not take stances on political issues in advertisements.	"business, corporations, politics, social justice"
Big multinational companies should stop manufacturing in developing countries.	"business, ethics, poverty"
The United States should abolish the capital gains tax.	"capital gains, USA, economics, investment, investing"
Extreme poverty can be eradicated through capitalism.	"capitalism, economics, poverty"
Do more life challenges make a person resilient?	"changes, life stages, challenges, learning"
Having a Child is Selfish.	"children, ethics, philosophy, parents, society, antinatalism"
Parental consent should be required for pregnant minors to have abortions.	"children, parenting, law, abortion"
Children should not own a smartphone.	"children, technology, education, privacy"
Japan should apologise for the Nanking Massacre	"China, history, Japan, war, WW2"
"China should cease attempts to infringe on the 'one country, two systems' policy in Hong Kong."	"China, Hong Kong, politics, protest"
Mother Teresa should not have been canonized.	"christianity, children, abortion, poverty, religion"
Hell exists.	"Christianity, religion, God, faith"
Should there be one singular global government/entity	"climate change, climate, government, government power"
Should there be one singular global government/entity	"climate change, climate, government, government power"
Fracking should be banned.	"climate change, environment, law, earth"
Climate change will cause human extinction.	"climate change, humans, future"
Humans should act to fight climate change.	"climate change, science, humans, society, enviroment"
What is the best measure to fight against climate change?	"climate change, social justice, future, science, problem solving, enviroment"
Computer Science is a failing discipline.	"computers, computing"
"Consenting adults should be allowed to compete in official, deadly arena-style tournaments, without having to fear any legal repercussions."	"conflict, hypothetical, thought, experiment"
