ID	lang
11767	en
7734	en
4201	en
1379	en
10451	en
30959	en
21101	en
16961	en
29207	en
11798	en
14186	en
26120	en
29944	en
18227	en
9269	en
17100	en
31689	en
22187	ca
31662	en
29993	en
28455	en
26322	en
17841	en
1027	en
29830	en
19059	en
4611	en
28253	en
16381	en
24455	en
10082	en
18637	en
26901	en
11175	en
15313	en
2710	en
26929	en
30193	en
13979	en
31266	en
21075	en
27376	en
24657	en
10294	en
7873	en
23139	en
32034	en
7872	en
18187	en
9863	en
23850	en
14742	en
15306	en
24326	en
29602	en
30347	en
10097	en
14232	en
18408	en
10054	en
27820	en
19070	en
3143	en
7325	en
17707	en
10068	en
16419	en
8764	en
7457	en
33048	en
24252	en
28468	en
17840	en
16592	en
25158	en
15925	en
29004	en
18597	en
29992	en
23515	en
30569	en
23298	en
10134	en
14346	en
10120	en
29979	en
31850	en
16579	en
8610	en
1634	en
22421	en
30743	en
16790	en
30031	en
9903	en
2856	en
16974	en
24078	en
32829	en
32197	en
16035	en
30794	en
4214	en
32815	de
7721	en
32801	en
32817	en
26876	en
18740	en
24907	en
15502	en
13173	en
22386	en
14152	en
16751	en
16989	en
5685	en
16962	en
2854	en
21102	en
30999	en
14191	en
2868	en
18967	en
19648	en
8606	en
1622	en
13365	en
14350	en
17881	en
15728	en
14422	en
8148	en
31852	en
17895	en
18595	en
24278	en
17856	en
26453	en
4148	en
29827	en
15106	en
15660	it
11406	en
17063	en
15674	en
14224	en
19066	en
12133	en
18387	en
18393	en
1232	en
5054	en
18634	en
14768	en
17261	en
14740	en
10240	en
23675	en
31265	en
18807	en
10297	en
15489	en
29370	en
7871	en
28709	en
10296	en
30620	de
29365	en
7865	en
28721	en
5096	en
9647	en
8559	en
28906	en
13760	en
16618	en
26903	en
13012	en
18147	en
28084	es
11605	en
1233	en
29615	en
30344	en
30378	en
27176	de
16340	en
10057	en
18437	en
22967	en
6986	en
16591	en
15098	en
30542	en
22608	en
24279	en
31853	en
