MapID	topics
11767	Ethics, Health, Medicine
7734	Ethics, Money, Liberty
4201	Law, Politics, USA, Constitution
1379	Philosophy, Religion, Science, Life
10451	Technology, Politics, Internet, Security, Password
30959	Democracy, Speech, Discussion, Peace, Listen, Attention
21101	Society, Health, Psychology, Drugs, Disease
16961	Philosophy
29207	Issue, Droevendaal, Giveawayshop
11798	Children, Education, Economics, UK, Finance
14186	Ethics, Justice, Law, Society, Medicine
26120	Europe, EU, Elections, Parliament
29944	Politics, Society, Economics, Capitalism, Taxation, Georgism
18227	Law, Politics, Economics, USA
9269	Science, Health, Vaccines, Parents, NoVax
17100	Technology, Ethics, Society, Economics, VR
31689	Technology, Science, Intelligence
31662	Science
29993	Children, Parents, Family
28455	Democracy, Politics, Referendum, Thistimeimvoting
26322	Politics, UK, Brexit
17841	Law, Society, Body
1027	Europe, Law, Gambling
29830	Learning, Changes, LifeStages, Challenges
19059	Philosophy, Ethics, Science, Society, Health
4611	Justice, Equality, Literature, Elections
28253	Technology, Ethics, Science, Animals, Humans
16381	Gender, Law, Equality, Violence, Sex
24455	Government, Politics, USA, Policy, Jobs
10082	Science, Feminism, Literature, Fandom
18637	Life, Violence, Gun
11175	Ethics, Science, Society, Economics, Environment, Food
15313	Children, Education, USA, School
2710	Technology, Society, Environment, Cars, ClimateChange
26929	Europe, Democracy, EU, Elections, Thistimeimvoting
30193	Movies, Film, Mulan
13979	Ethics, Government, Education, USA, Health, Policy
31266	Technology, Science, Intelligence, ScienceFiction
21075	Ethics, Society, Morality
27376	Law, Art, Copyright, Authors
24657	Politics, Economics, USA, Trump, Mexico
10294	Ethics, Environment, ClimateChange, Earth
7873	Education, Student, Grades
23139	Children, Education, Vegan, Vegetarian
32034	Education
7872	Technology, Children, Education, School
18187	Religion, God, Sexuality, Homosexuality, Scripture, Interpretation
9863	Philosophy, Ethics, Society, Economics, OpenSource
23850	Government, Law, Politics, USA
14742	Politics, Society, Elections
15306	Law, Economics, Pollution
24326	Ethics, Society, Internet, Sex
29602	Politics, Education, University, Humanities
30347	Religion, Politics, USA, Trump
10097	Life, Aliens, Universe, Behavior, Encounter
14232	Entertainment, Science, Space
18408	IT, Web, Microservices
10054	Technology, Science, Future, Space, Earth
27820	Europe, Politics, Society, Thistimeimvoting
19070	Technology, Ethics, Science, Humans, Evolution
3143	Philosophy, Ethics, Children, Parents, Antinatalism
7325	Entertainment, FreeSpeech, Comedy, Humor
17707	Philosophy, Government, Society
10068	Children, Education, School
16419	Gender, Society, Feminism, Culture, Women
8764	Ethics, Society, Health, Sports
7457	Ethics, Economics, Capitalism, FreeMarket
33048	Technology, Money, Apple
24252	Europe, Politics, EU, Turkey
28468	Politics, History, France, Revolution
17840	Ethics, Law, Politics, FreeSpeech
16592	Law, Economics, Health, Medicine
25158	Feminism, Advertising, Masculinity, Toxic, Gillette
15925	Gaming, Console, Microsoft, Sony
29004	TV, Fantasy, GameOfThrones, Series
18597	Government, Politics, Society
29992	Cryptocurrency, Crypto, Blockchain, Finance, Globalization, Currency
23515	Philosophy, Government, Politics, Society, USA, Policy
30569	Government, USA, Mexico, America, Descrimination, ICE
23298	Ethics, Animals, Sports
10134	Law, Politics, Equality, HumanRights, FreeSpeech
14346	Politics, Society, Feminism, Women, Taxation
10120	Law, Politics, Violence, Gaming
29979	Entertainment, Movies, Fandom, Acting, Performance, Hollywood
31850	Politics, UK, Brexit
16579	Ethics, Society
8610	Entertainment, TV, StarTrek, Discovery, Orville, Trek
1634	Government, Politics, Economics, Equality, Money, Poverty
22421	Religion, Freedom, Public, Secularism
30743	Philosophy
16790	Ethics, Government, Society, Economics, Equality
30031	Technology, Government, Internet, UK
9903	Society, Economics, UBI
2856	Law, Economics, USA, Regulation, Housing, Airbnb, NYC
16974	Government, Economics, Taxation
24078	Philosophy, Society, Freedom
32829	Football
32197	Languages, Music, Christmas
16035	Government, Politics, USA, Policy
30794	Vegan, Vegetarian
4214	Gender, Freedom, Women, Sex, Robots, Liberation, Roles
7721	Technology, Ethics, Science, Health, Humans
32801	Computers, Computing
32817	Religion, Christianity, Spirituality, Angel, Spirit, Demon
26876	Government, Politics, Money, Elections, Finance
18740	Children, Religion, Christianity, HumanRights, Parenting
24907	Best, Anime, Cartoon
15502	USA, Censorship, SexWork, SESTA
13173	Law, Society, Animals
22386	Ethics, Animals, Violence, Morality
14152	Science
16751	Europe, Politics, USA, War, World
16989	Society, Equality, Economy, Race
5685	Philosophy, Freedom, Humans
16962	Law, UnitedStates, Murder, Courts
2854	Ethics, Law, Politics, Society, Military
21102	Technology, Ethics, Law, Science, Society
30999	Globalization, Crimes, Death, Punishment, Judgment
14191	Philosophy, TOK
2868	Justice, Law, Politics, USA, Trump, Pardon
18967	Politics, India, Modi, Gandhi
19648	Democracy, Politics, Society, USA, Policy
8606	Education, USA, School
1622	Entertainment, Movies, Fantasy, SciFi, StarWars, Spoilers
13365	Philosophy, Relationships, Life
14350	Ethics, Law, Children
17881	Society, Economics
15728	Government, Society, World, Military
14422	Gender, Children, Feminism, Equality, Culture
8148	Democracy, Government, Politics, Economics, Taxation
31852	ClimateChange, Climate, Climate-Change, Global-warming, Westworld, Hypocrisy
17895	Philosophy, Ethics, Society
18595	Politics, USA, Trump, Journalism, ForeignPolicy, Pence
24278	Politics, War, India, Pakistan
17856	Politics, USA, Elections
26453	Law, Politics, UK, Islam
4148	Ethics, Animals, Life, Humans, Vegan
29827	Ethics, Justice, Crimes, Death, Prison
15106	Technology, Education, USA
11406	Writing, Yoga, Writers
17063	Politics, Economics, Sports
15674	Ethics, Discrimination, MentalHealth, Discussion, Nurse
14224	Philosophy, Democracy, Government, Law, Politics, Economics
19066	Corruption, Republican, Party, Rich
12133	Government, Politics, Society, Violence, Gun
18387	Ethics, Health, Sustainability, Water
18393	Philosophy, Science, Faith, Evolution
1232	Science, Sex, History, Einstein
5054	Democracy, Politics, Education, Capitalism, DecisionMaking, Technocracy
18634	Gender, Ethics, Law, Children, Abortion
14768	Internet, Learning, Knowledge, Subjectivity
17261	Politics, Economics, USA, Money
14740	Ethics, Animals, AnimalRights, Police
10240	Technology, Law, USA, IP, Patent
23675	Philosophy, Ethics, Law, Society, Health
31265	Science, Brain, States, Mental, Mind
18807	Gender, Feminism, Equality, Power, Female, Male
10297	Gender, Relationships
15489	Law, Environment, ClimateChange, Australia
29370	Environment, EU, ClimateChange, Taxes
7871	Children, Education, School, Learning
28709	Justice, Equality, LGBTQ, HumanRights
10296	Politics, UK, Brexit, Ireland, NorthernIreland, CTA
29365	Gender, LGBTQ, Sexuality
7865	Democracy, Law, Politics, Society, Elections, Political
28721	Europe, Entertainment, Sports
5096	Ethics, Money, Sports
9647	Law, Education, USA, School, Policy
8559	Democracy, Politics, Freedom, Media, News
28906	Health, Work, MentalHealth
13760	Ethics
16618	Economics, USA
26903	Cars, Cities, Pedestrians, Urban
13012	Movies, Film, Christmas, Muppets
18147	Politics, Society, Equality, Marriage
11605	Environment, Oil, Palm
1233	AnimalRights, Bees, Honey, PETA
29615	Religion, Politics, Israel, Geography, Palestine
30344	Biology, Virology
30378	AI, Art, Blues
16340	Ethics, Society, Culture, Relationships, Marriage
10057	Religion, Christianity, God, Morality, Atheism, Theism
18437	Philosophy, Health, Relationships, Humans, Morality
22967	Society, Economics, Business
6986	Philosophy, Axioms, Rationality, Logic, Objectivity, Reality, Irrational, Realism
16591	Society, Environment, Life, Humans, ClimateChange, Earth
15098	Government, Politics, USA, Immigration, Police
30542	Science, Evolution
22608	UK, TV, DoctorWho, Television, JodieWhittaker
24279	Law, Politics, Money, HumanRights, FreeSpeech
31853	Privacy, Data
14345	Politics, Society, Equality, Poverty
9531	Europe, Science, Environment, Earth
29946	Sexuality, Tantra, Masturbation, Orgasm, NoFap, Karezza
17670	Society, Safety, Wellbeing, Driving
32143	Aliens, Universe, Cosmos
32619	Gender, Equality, LGBTQ, Sexuality
31476	Government, UN
1384	Ethics, Relationships, Sex, Marriage
26678	Ethics, Money, Art
16750	Philosophy, Ethics, Religion, Humans
13628	Feminism, Culture, Violence
23927	Government, Politics, Corruption
12278	Government, Politics, Freedom, Capitalism, Libertarian
8363	Europe, Politics, Freedom, UK
5119	Games, Gaming, Console, Nintendo, Microsoft, Sony
30787	Justice, Society, Money
16026	Ethics, Politics, Society, Immigration
32184	Religion, Science, Faith
13604	Philosophy, Literature, History
7915	Philosophy, Meaning, Metaphysical, Nihilism, Nietzsche
14194	Science, Environment, ClimateChange, Earth, Weather
2851	Ethics, Religion, Feminism, Health, HumanRights, Abortion
25836	Philosophy, Ethics, Happiness
13348	Technology, Economics, UK, BBC
6148	Ethics, Law, Politics, Freedom, HumanRights, FreeSpeech
16218	Education, Violence, School
17660	Development, Software, Agile, Scrum, Spotify
9284	Philosophy, Ethics, Children, Society, Parents, Antinatalism
31658	Society, Equality, HumanRights, Morality, Epistemology, EqualOpportunity
26442	Justice, Law, Economics, Property
26330	Democracy, Government, Politics, Nations
6835	Ethics, Politics, Society
18590	Ethics, Justice, Law, Society
5496	Philosophy, Religion, God, Existence, Pascal, Wager
4950	Government, Society
12650	Government, Law, Politics, Education, Society
16422	Education, Society, Media
10053	Technology, Education, Gaming
8987	Ethics, Animals, AnimalRights, Pet, Humane
17714	Gaming, VideoGames
15103	Ethics, Society, Health, Production, Nutrition, Coffee, Caffeine
11371	Technology, Politics, Elections, India
29836	Justice, Racism, Nazi, Nationalism, Fascism, Antifa
18355	Politics, War, HumanRights, UN
17066	Ethics, Government, Politics, Business, Jobs, Parliament
25981	Ethics, Justice, Politics, Society, Sex
17099	Internet, Cybersecurity, Hacking
1960	Philosophy, Religion
7487	Science, Environment, Future, Food, ClimateChange
33113	Society
4415	Science, Future, Space, Earth
4401	Education, Sex, School, Policy
30181	Gender, Media, VideoGames, Sexism
3346	Politics, Society, USA, Violence, Gun
9119	Cars, Carbon
984	Finance, Bitcoin, Anonymity, Currency, Anonymous, Payments
32033	JavaScript, ReactJS, VueJS, Angular, HTML5, CSS
5904	Gender, Politics, Economics
9858	Philosophy, Theory, Simulation, Anthropic
1592	Philosophy, Ethics, Trilemma
28043	Politics, USA, Privacy, Ecuador
29349	Justice, Literature, FreeSpeech, Crimes
